Journal Title,2022 rating,Publisher,ISSN,ISSN Online,Year Inception,FoR
British Journal of Industrial Relations,A*,Wiley-Blackwell Publishing,0007-1080,1467-8543,1963,3505
British Journal of Management,A,Wiley-Blackwell Publishing,1045-3172,1467-8551,1990,3507
British Journal of Mathematical and Statistical Psychology,B,Wiley-Blackwell Publishing,0007-1102,2044-8317,1947,4905
British Journal of Political Science,A,Cambridge University Press,0007-1234,1469-2112,1971,3599
British Journal of Psychology,A,Wiley-Blackwell Publishing,0007-1269,2044-8295,1904,3507
British Journal of Social Psychology,A,Wiley-Blackwell Publishing,0144-6665,2044-8309,1962,3507
British Journal of Sociology,A,Wiley-Blackwell Publishing,0007-1315,1468-4446,1950,3507
British Tax Review,A*,Sweet & Maxwell,0007-1870,,1956,4801
Brookings Papers on Economic Activity,A,Brookings Institutions,0007-2303,1533-4465,1970,3801
Brussels Economic Review,C,Universite libre de Bruxelles,0008-0195,,1958,3801
Building Research and Information,A,Taylor & Francis Online,0961-3218,1466-4321,1970,3599
Built Environment Project and Asset Management,B,Emerald Group Publishing,2044-124X,2044-1258,2011,3599
Bulletin for International Taxation,B,International Bureau of Fiscal Documentation,1819-5490,2352-9202,1946,4801
Bulletin of Applied Economics,C,Risk Market Journals,2056-3728,2056-3736,2014,3801
Bulletin of Comparative Labour Relations,C,Wolters Kluwer,0770-3724,,1975,3505
Bulletin of Economic Research,B,Wiley-Blackwell Publishing,0307-3378,1467-8586,1948,3801
Bulletin of Indonesian Economic Studies,B,Taylor & Francis Online,0007-4918,1472-7234,1965,3801
Bulletin of Monetary Economics and Banking,C,Bank Indonesia,1410-8046,2460-9196,1998,3502
Bulletin of the Czech Econometric Society,C,The Czech Econometric Society,1212-074X,,1994,3802
Business & Information Systems Engineering,A,Springer International Publishing,2363-7005,1867-0202,2009,4609
Business and Economics Research Journal,C,Adem Anbar,1309-2448,,2010,3801
Business and Human Rights Journal,C,Cambridge University Press,2057-0198,2057-0201,2016,4801
Business and Politics,A,Cambridge University Press,1369-5258,1469-3569,1999,3505
Business and Professional Ethics Journal,C,"Institute for Business and Professional Ethics, DePaul University",0277-2027,2153-7828,1981,3507
Business and Society,A,Sage Publications,0007-6503,1552-4205,1960,3507
Business and Society Review,C,Wiley-Blackwell Publishing,0045-3609,1467-8594,1900,3507
Business and Professional Communication Quarterly,C,Sage Publications,2329-4906,2329-4922,1935,3507
Business Economics,B,Springer International Publishing,0007-666X,1554-432X,1965,3801
Business Ethics Quarterly,A,Cambridge University Press,1052-150X,2153-3326,1991,3507
Business Ethics: A European review,B,Wiley-Blackwell Publishing,0962-8770,1467-8608,1992,3507
Business History,A,Taylor & Francis Online,0007-6791,1743-7938,1958,3505
Business History Review,A,Cambridge University Press,0007-6805,2044-768X,1926,3505
Business Horizons,B,Elsevier,0007-6813,1873-6068,1957,3507
Business Intelligence Journal,C,Data Warehousing Institute,1547-2825,1944-9615,2003,4609
Business Law Review,C,Husson University,1533-7421,,1968,4801
Business Law Today,C,American Bar Association,1059-9436,,1980,4801
Business Perspectives and Research,C,Sage Publications,2394-9937,2278-5337,2012,3507
Business Process Management Journal,B,Emerald Group Publishing,1463-7154,1758-4116,1995,4609
Business Research Quarterly,B,Asociacion Cientifica de Economia y Direccion de la Empresa,2340-9436,,2014,3507
Business Strategy and the Environment,A,Wiley-Blackwell Publishing,0964-4733,1099-0836,1992,3507
Business Strategy Review,B,Wiley-Blackwell Publishing,0955-6419,1467-8616,1990,3507
Cadernos de Pos-Graduacao em Direito Politico e Economico,C,,1678-2127,,2001,3801
California Management Review,A,Sage Publications,0008-1256,2162-8564,1958,3507
Cambridge Journal of Economics,A,Oxford University Press,0309-166X,1464-3545,1977,3801
"Cambridge Journal of Regions, Economy and Society",B,Oxford University Press,1752-1378,1752-1386,2008,3801
Cambridge Law Journal,A*,Cambridge University Press,0008-1973,1469-2139,1921,4801
Canadian Bar Review,B,Canadian Bar Association,0008-3003,,1923,4801
Canadian Business Law Journal,A,Canada Law Book,0319-3322,,1976,4801
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,B,Wiley-Blackwell Publishing,0825-0383,1936-4490,1984,3507
Canadian Journal of Agricultural Economics / Revue Canadienne d Agroeconomie,A,Wiley-Blackwell Publishing,0008-3976,1744-7976,1952,3801
Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,B,Taylor & Francis Online,0225-5189,2158-9100,1980,3801
Canadian Journal of Economics / Revue Canadienne D'Economique,A,Wiley-Blackwell Publishing,0008-4085,1540-5982,1968,3801
Canadian Journal of Marketing Research,C,Marketing Research and Intelligence Association,0829-4836,,1980,3506
Canadian Journal of Statistics,A,Wiley-Blackwell Publishing,0319-5724,1708-945X,1973,4905
Canadian Journal of Transportation,C,University of New Brunswick,1715-2127,,2007,3509
Canadian Public Policy / Analyse de Politiques,B,University of Toronto Press,0317-0861,1911-9917,1975,3599
Canadian Tax Journal,A*,Canadian Tax Foundation,0008-5111,,1953,4801
Canberra Law Review,C,University of Canberra,1320-6702,,1994,4801
Canterbury Law Review,B,University of Canterbury,0112-0581,,1980,4801
Capital and Class,B,Sage Publications,0309-8168,2041-0980,1970,3899
Capital Markets Law Journal,A,Oxford University Press,1750-7219,1750-7227,2006,4801
Capital Markets Review,C,Malaysian Finance Association and Bursa Malaysia,1823-4445,,1993,3502
Capitalism and Society,C,SSRN,1932-0213,,2006,3801
Career Development and Transition for Exceptional Individuals,C,Sage Publications,0885-7288,1557-5047,1978,3507
Career Development International,B,Emerald Group Publishing,1362-0436,1758-6003,1996,3505
Case Studies on Transport Policy,C,Elsevier,2213-624X,,2013,3509
Cayapa: revista venezolana de economia social,C,Universidad de los Andes,1317-5734,,2001,3801
Central Bank Review,C,Elsevier,1303-0701,1305-8800,2001,3502
Central European Journal of Economic Modelling and Econometrics,C,Central European Journal of Economic Modelling and Econometrics,2080-0886,2080-119X,2009,3802
Central European Journal of Operations Research,C,Springer International Publishing,1435-246X,1613-9178,1993,3509
CESifo Economic Studies,C,Oxford University Press,1610-241X,1612-7501,1955,3801
Charity Law and Practice Review,B,Key Haven Publications,0966-4041,,1993,4801
Chilean Journal of Statistics,C,Chilean Statistical Society,0718-7912,0718-7920,2010,4905
China Accounting and Finance Review,A,Hong Kong Polytechnic University,1029-807X,2307-3055,1999,3501
China Agricultural Economic Review,C,Emerald Group Publishing,1756-137X,1756-1388,2008,3801
China and World Economy,B,Wiley-Blackwell Publishing,1671-2234,1749-124X,1993,3801
China Economic Review,A,Elsevier,1043-951X,1873-7781,1989,3801
China Finance Review International,C,Emerald Group Publishing Limited,2044-1398,2044-1401,2010,3502
China Information,B,Sage Publications,0920-203X,1741-590X,1986,3599
China Journal of Accounting Research,B,Elsevier,1755-3091,2214-1421,2008,3501
China Journal of Accounting Studies,B,Taylor & Francis Online,2169-7213 ,2169-7221,2013,3501
The China Quarterly,A,Cambridge University Press,0305-7410,1468-2648,1960,3599
Chinese Management Studies,C,Emerald Group Publishing,1750-614X,1750-6158,2007,3507
Chinese Rural Economy,C,Chinese Rural Economy Press,1002-8870,,1985,3801
"Choices: The Magazine of Food, Farm, and Resource Issues",C,American Agricultural Economics Association,0886-5558,,1986,3899
"Ciclos: en la historia, la economia y la sociedad",C,Universidad de Buenos Aires (UBA),0327-4063,1851-3735,1991,3801
Citizenship Studies,C,Taylor & Francis Online,1362-1025,1469-3593,1997,3599
Civil Justice Quarterly,A,Sweet & Maxwell,0261-9261,,1982,4801
Climate and Development,B,Taylor & Francis Online,1756-5529,1756-5537,2009,3899
Climate Change Economics,B,World Scientific Publishing,2010-0078,,2010,3899
Climate Policy,C,Taylor & Francis Online,1469-3062,1752-7457,2001,3507
Cliometrica: journal of historical economics and econometric history,C,Springer International Publishing,1863-2505,1863-2513,2007,3801
Cogent Economics and Finance,B,Taylor & Francis,2332-2039,,2013,3801
Cognitive Psychology,A,Elsevier,0010-0285,1095-5623,1970,3507
Columbia Business Law Review,A,Columbia Business Law Review,0898-0721,1930-7934,1986,4801
Columbia Journal of Asian Law,A,Columbia Law School,1094-8449,2373-0498,1987,4801
Columbia Journal of Law and the Arts,A,Columbia University,1544-4848,,1974,4801
Columbia Journal of Transnational Law,A,Columbia Society of International Law,0010-1931,2159-1814,1961,4801
Columbia Law Review,A*,"Columbia Law Review Association, Inc.",0010-1958,1945-2268,1901,4801
Commercial Law Quarterly,C,Commercial Law Association,0819-4262,,1968,4801
Common Law World Review,B,Sage Publications,1473-7795,1740-5556,1972,4801
Common Market Law Review,B,Kluwer Law International,0165-0750,1875-8320,1963,4801
Commonwealth and Comparative Politics,C,Taylor & Francis Online,1466-2043,1743-9094,1961,3599
Communication & Sport,B,Sage Publications,2167-4809,2167-4795,2013,3504
Communication Monographs,A,Taylor & Francis Online,0363-7751,1479-5787,1976,3507
Communication Research,A,Sage Publications,0093-6502,1552-3810,1974,3599
Communication Research and Practice,C,Taylor & Francis Online,2204-1451,2206-3374,2015,3506
Communication Theory,A,Oxford University Press,1050-3293,1468-2885,1991,3599
Communications in Statistics: Theory and Methods,B,Taylor & Francis Online,0361-0926,1532-415X,1971,4905
Communications Law Bulletin,C,Australasian Communications Law Association,0727-1301,,1981,4801
Communications of the ACM,A,Association for Computing Machinery,0001-0782,1557-7317,1958,4609
Communications of the Association for Information Systems,A,Association for Information Systems (AIS),1529-3181,,1999,4609
Community Development Journal,B,Oxford University Press,0010-3802,1468-2656,1949,3507
"Community, Work and Family",C,Taylor & Francis Online,1366-8803,1469-3615,1998,3507
Company and Securities Law Journal,A,Thomson Reuters,0729-2775,,1982,4801
Company Lawyer,B,Sweet & Maxwell,0144-1027,,1980,4801
Comparative Economic Studies,B,Springer International Publishing,0888-7233,1478-3320,1958,3899
Comparative Labor Law and Policy Journal,A,University of Illinois Press,1095-6654,,1967,4801
Comparative Political Studies,B,Sage Publications,0010-4140,1552-3829,1968,3599
Comparative Politics,A,City University of New York,0010-4159,2151-6227,1968,3599
Competition and Change,B,Sage Publications,1024-5294,1477-2221,1995,3505
Competition and Consumer Law Journal,A,LexisNexis,1039-5598,,1993,4801
Competition and Regulation in Network Industries,B,Sage Publications,1783-5917,,2000,3801
Competition Law Journal,C,Edward Elgar Publishing,1476-9085,,2002,4801
Competitiveness Review,C,Emerald Group Publishing,1059-5422,2051-3143,1991,3507
Comptabilité - Contrôle - Audit,B,Association Francophone de Comptabilité FRANCE,1262-2788,2313-514X,1995,3501
Computational Economics,B,Springer International Publishing,0927-7099,1572-9974,1988,3899
Computational Management Science,B,Springer International Publishing,1619-697X,1619-6988,2003,3503
Computational Statistics and Data Analysis,A,Elsevier,0167-9473,1872-7352,1983,4905
Computer and Telecommunications Law Review,C,Sweet & Maxwell,1357-3128,,1995,4801
Computer Law & Security Review,B,Elsevier,0267-3649,1873-6734,1985,4801
Computer Supported Cooperative Work,B,Springer International Publishing,0925-9724,1573-7551,1992,4609
Computers & Industrial Engineering,A,Elsevier,0360-8352,1879-0550,1976,3503
Computers and Operations Research,A,Elsevier,0305-0548,1873-765X,1974,3509
Computers and Security,A,Elsevier,0167-4048,1872-6208,1982,4609
Computers in Human Behavior,A,Elsevier,0747-5632,1873-7692,1985,4609
Conflict Management and Peace Science,B,Sage Publications,0738-8942,1549-9219,1974,3507
Conflict Resolution Quarterly,B,Wiley-Blackwell Publishing,1536-5581,1541-1508,1983,3507
Constitutional Political Economy,B,Springer International Publishing,1043-4062,1572-9966,1990,3801
Construction Economics and Building,C,UTS ePress,1835-6354,2204-9029,2001,3504
Construction Innovation,B,Emerald Group Publishing,1471-4175,1477-0857,2001,3504
Construction Law Journal,B,Sweet & Maxwell,0267-2359,,1984,4801
Construction Management and Economics,A,Taylor & Francis Online,0144-6193,1466-433X,1983,3504
Consumer Behavior in Tourism and Hospitality,B,Emerald Group Publishing,2752-6666,2752-6674,2007,3508
Consumer Finance Law Quarterly Report,C,Conference on Consumer Finance Law,0883-4555,,1946,4801
"Consumption, Markets and Culture",B,Taylor & Francis Online,1025-3866,1477-223X,1997,3506
Contemporary Accounting Research,A*,Wiley-Blackwell Publishing,0823-9150,1911-3846,1984,3501
Contemporary Economic Policy,B,Wiley-Blackwell Publishing,1074-3529,1465-7287,1982,3801
Contemporary Economics,C,University of Finance and Management in Warsaw,2084-0845,2300-8814,2007,3899
Contemporary Sociology,C,Sage Publications,0094-3061,1939-8638,1972,3507
Contributions to Political Economy,B,Oxford University Press,0277-5921,1464-3588,1982,3801
Copernican Journal of Finance & Accounting,C,Nicolaus Copernicus University Press,2300-1240,2300-3065,2012,3501
Copyright Society of the USA Journal,B,Society of the USA,0886-3520,,1953,4801
Cornell Hospitality Quarterly,A,Sage Publications,1938-9655,1938-9663,2008,3504
Cornell International Law Journal,B,Cornell Society of International Law,0010-8812,,1967,4801
Cornell Law Review,A*,Cornell Law School,0010-8847,,1915,4801
Corporate Board,C,Vanguard Publications,0746-8652,,1980,4801
Corporate Communications,B,Emerald Group Publishing,1356-3289,1758-6046,1996,3506
Corporate Finance Review,C,"RIA Group, Boston",1089-327X,,1997,3502
Corporate Governance and Sustainability Review,C,Virtus Interpress,2519-8971,2519-898X,2017,3501
Corporate Governance International,B,The University of Melbourne,1028-9666,,1998,4801
Corporate Governance,C,Emerald Group Publishing,1472-0701,1758-6054,2001,3507
Corporate Governance: an international review,A,Wiley-Blackwell Publishing,0964-8410,1467-8683,1993,3507
Corporate Ownership and Control,B,Virtus Interpress,1727-9232,1810-3057,1993,3501
Corporate Reputation Review,C,Springer International Publishing,1363-3589,1479-1889,1997,3507
Corporate Social Responsibility and Environmental Management,C,Wiley-Blackwell Publishing,1535-3958,1535-3966,1994,3507
Corporate Taxation,C,"Warren, Gorham & Lamont, Inc.: Thomson Reuters",1534-715X,,1973,4801
Cost Effectiveness and Resource Allocation,C,BioMed Central,,1478-7547,2003,3801
Cost Management,C,"Warren Gorham & Lamont, Inc.  - Thomson Financial Publishing",1092-8057,,1987,3501
Creativity and Innovation Management,C,Wiley-Blackwell Publishing,0963-1690,1467-8691,1992,3507
Credit and Capital Markets,C,Duncker & Humblot Gmbh,2199-1227,2199-1235,1968,3803
"Crime, Law and Social Change",B,Springer International Publishing,0925-4994,1573-0751,1977,4801
Critical Asian Studies,B,Taylor & Francis Online,1467-2715,1472-6033,1968,3599
Critical Discourse Studies,B,Taylor & Francis Online,1740-5904,1740-5912,2004,3599
Critical Finance Review,A*,Now Publishers,2164-5744,2164-5760,2012,3502
Critical Perspectives on Accounting,A,Elsevier,1045-2354,1095-9955,1990,3501
Critical Perspectives on International Business,B,Emerald Group Publishing,1742-2043,1758-6062,2005,3507
