Journal Title,2022 rating,Publisher,ISSN,ISSN Online,Year Inception,FoR
Auditing: A Journal of Practice and Theory,A*,American Accounting Association,0278-0380,1558-7991,1981,3501
Australasian Accounting Business and Finance Journal,B,University of Canberra,1834-2000,1834-2019,2007,3501
Australasian Agribusiness Review,C,The University of Melbourne,1442-6951,,1993,3599
Australasian Dispute Resolution Journal,C,Thomson Reuters,1441-7847,1441-7847,1990,4801
Australasian Journal of Business and Behavioural Sciences,C,Australasian Business and Behavioural Sciences Association,1832-0422,,2005,3501
Australasian Journal of Economics Education,C,University of Queensland,1448-448X,1448-4498,2004,3801
Australasian Journal of Environmental Management,A,Taylor & Francis Online,1448-6563,2159-5356,2003,3507
Australasian Journal of Information Systems,A,Australasian Association for Information Systems (AAIS),1449-8618,1326-2238,1983,4609
Australasian Journal of Natural Resources Law and Policy,B,University of Wollongong,1320-5323,,1993,4801
Australasian Journal of Regional Studies,B,Australian and New Zealand Regional Science Association,1324-0935,,1995,3599
Australasian Journal on Ageing,B,Wiley-Blackwell Publishing,1440-6381,1741-6612,1982,3599
Australasian Marketing Journal,A,Elsevier,1441-3582,1839-3349,1993,3506
Australasian Parks and Leisure,C,Universal Magazines,1446-5604,,,3504
Australian Accounting Review,B,Wiley-Blackwell Publishing,1035-6908,1835-2561,1991,3501
Australian and New Zealand Journal of Criminology,A,Sage Publications,0004-8658,1837-9273,1968,4801
Australian and New Zealand Journal of Statistics,A,Wiley-Blackwell Publishing,1369-1473,1467-842X,1959,4905
Australian Bar Review,A,LexisNexis,0814-8589,,1986,4801
Australian Bulletin of Labour,B,"National Institute of Labour Studies, Flinders University",0311-6336,0311-6336,1974,3505
Australian Business Law Review,A,Thomson Reuters,0310-1053,,1973,4801
Australian Commodities,C,Australian Bureau of Agricultural and Resource Economics,1321-7844,,1948,3801
Australian Economic History Review,B,Wiley-Blackwell Publishing,0004-8992,1467-8446,1956,3801
Australian Economic Papers,B,Wiley-Blackwell Publishing,0004-900X,1467-8454,1962,3801
Australian GST Journal,C,Thomson Reuters,1445-4068,,1998,4801
Australian Intellectual Property Journal,C,Thomson Reuters,1038-1635,,1990,4801
